scenarioId,contractIndex,groupName,resourceType,componentName,componentTitle,pagePath,editedFields,controlsRendered,verifiedLayers,outcome,notes
S2.1,1,Layout & Page Structure,tut-usa/layout-page-structure/section-divider,section-divider,Section Divider,/content/tut-usa/reb26-component-sweep,label,3/3,ui author-api headless graphql rendered preview publish,PASS,
S2.1,2,Layout & Page Structure,tut-usa/layout-page-structure/spacer,spacer,Spacer,/content/tut-usa/reb26-component-sweep,responsiveBehavior,2/2,ui author-api headless graphql rendered preview publish,PASS,
S2.1,3,Layout & Page Structure,tut-usa/layout-page-structure/container,container,Container,/content/tut-usa/reb26-component-sweep,background,3/3,ui author-api headless graphql rendered preview publish,PASS,container child preserved across save
S2.1,4,Layout & Page Structure,tut-usa/layout-page-structure/grid-layout,grid-layout,Grid Layout,/content/tut-usa/reb26-component-sweep,columnsDesktop,4/4,ui author-api headless graphql rendered preview publish,PASS,container child preserved across save
S2.1,5,Layout & Page Structure,tut-usa/layout-page-structure/two-column-layout,two-column-layout,Two Column Layout,/content/tut-usa/reb26-component-sweep,leftContent ratio rightContent,4/4,ui author-api headless graphql rendered preview publish,PASS,container child preserved across save; reference leftContent produced no anchor href; reference rightContent produced no anchor href
S2.1,6,Layout & Page Structure,tut-usa/layout-page-structure/two-columns-grid,two-columns-grid,Two Columns Grid,/content/tut-usa/reb26-component-sweep,gap,4/4,ui author-api headless graphql rendered preview publish,PASS,container child preserved across save
S2.1,7,Layout & Page Structure,tut-usa/layout-page-structure/three-column-layout,three-column-layout,Three Column Layout,/content/tut-usa/reb26-component-sweep,column1 column2 column3 gap,4/4,ui author-api headless graphql rendered preview publish,PASS,container child preserved across save; reference column1 produced no anchor href; reference column2 produced no anchor href; reference column3 produced no anchor href
S2.1,8,Layout & Page Structure,tut-usa/layout-page-structure/card-grid,card-grid,Card Grid,/content/tut-usa/reb26-component-sweep,title,4/4,ui author-api headless graphql rendered preview publish,PASS,container child preserved across save
S2.1,9,Layout & Page Structure,tut-usa/layout-page-structure/sidebar-promo,sidebar-promo,Sidebar Promo,/content/tut-usa/reb26-component-sweep,title,4/4,ui author-api headless graphql rendered rendered-asset preview publish,PASS,
S2.1,10,Layout & Page Structure,tut-usa/layout-page-structure/sticky-cta,sticky-cta,Sticky CTA,/content/tut-usa/reb26-component-sweep,label,4/4,ui author-api headless graphql rendered preview publish,PASS,
S2.1,11,Layout & Page Structure,tut-usa/layout-page-structure/modal-dialog,modal-dialog,Modal Dialog,/content/tut-usa/reb26-component-sweep,body size,5/5,ui author-api headless graphql rendered preview publish,PASS,
S2.1,12,Layout & Page Structure,tut-usa/layout-page-structure/side-panel,side-panel,Side Panel,/content/tut-usa/reb26-component-sweep,content position,4/4,ui author-api headless graphql rendered preview publish,PASS,reference content produced no anchor href
S2.1,13,Layout & Page Structure,tut-usa/layout-page-structure/drawer-navigation,drawer-navigation,Drawer Navigation,/content/tut-usa/reb26-component-sweep,position,3/3,ui author-api headless graphql rendered preview publish,PASS,
S2.1,14,Layout & Page Structure,tut-usa/layout-page-structure/tooltip,tooltip,Tooltip,/content/tut-usa/reb26-component-sweep,position,3/3,ui author-api headless graphql rendered preview publish,PASS,
S2.1,15,Layout & Page Structure,tut-usa/layout-page-structure/popover,popover,Popover,/content/tut-usa/reb26-component-sweep,content position,4/4,ui author-api headless graphql rendered preview publish,PASS,
S2.1,16,Layout & Page Structure,tut-usa/layout-page-structure/badge,badge,Badge,/content/tut-usa/reb26-component-sweep,styleVariant,3/3,ui author-api headless graphql rendered rendered-asset preview publish,PASS,
S2.1,17,Layout & Page Structure,tut-usa/layout-page-structure/media-object,media-object,Media Object,/content/tut-usa/reb26-component-sweep,mediaPosition,4/4,ui author-api headless graphql rendered preview publish,PASS,non-image asset media persisted; no <img> expected
S2.1,18,Layout & Page Structure,tut-usa/layout-page-structure/page-header,page-header,Page Header,/content/tut-usa/reb26-component-sweep,subtitle,4/4,ui author-api headless graphql rendered rendered-asset preview publish,PASS,
S2.1,19,Layout & Page Structure,tut-usa/layout-page-structure/page-footer-section,page-footer-section,Page Footer Section,/content/tut-usa/reb26-component-sweep,headline,4/4,ui author-api headless graphql rendered preview publish,PASS,
S2.1,20,Layout & Page Structure,tut-usa/layout-page-structure/page-metadata,page-metadata,Page Metadata,/content/tut-usa/reb26-component-sweep,pageTitle,5/5,ui author-api headless graphql rendered preview publish,PASS,
S2.2,21,Layout & Page Structure,tut-usa/layout-page-structure/empty-state,empty-state,Empty State,/content/tut-usa/reb26-component-sweep,message,4/4,ui author-api headless graphql rendered preview publish,PASS,non-image asset illustration persisted; no <img> expected
S2.2,22,Layout & Page Structure,tut-usa/layout-page-structure/pagination,pagination,Pagination,/content/tut-usa/reb26-component-sweep,baseUrl,4/4,ui author-api headless graphql rendered preview publish,PASS,
S2.2,23,Layout & Page Structure,tut-usa/layout-page-structure/filter-panel,filter-panel,Filter Panel,/content/tut-usa/reb26-component-sweep,applyMode,3/3,ui author-api headless graphql rendered preview publish,PASS,
S2.2,24,Layout & Page Structure,tut-usa/layout-page-structure/sort-control,sort-control,Sort Control,/content/tut-usa/reb26-component-sweep,defaultOption,3/3,ui author-api headless graphql rendered preview publish,PASS,
S2.2,25,Layout & Page Structure,tut-usa/layout-page-structure/tag-list,tag-list,Tag List,/content/tut-usa/reb26-component-sweep,linkMode,2/2,ui author-api headless graphql rendered preview publish,PASS,
S2.2,26,Layout & Page Structure,tut-usa/layout-page-structure/icon-list,icon-list,Icon List,/content/tut-usa/reb26-component-sweep,iconPosition,3/3,ui author-api headless graphql rendered preview publish,PASS,
S2.2,27,Layout & Page Structure,tut-usa/layout-page-structure/icon-card,icon-card,Icon Card,/content/tut-usa/reb26-component-sweep,title,4/4,ui author-api headless graphql rendered rendered-asset preview publish,PASS,
S2.2,28,Layout & Page Structure,tut-usa/layout-page-structure/framed-message,framed-message,Framed Message,/content/tut-usa/reb26-component-sweep,message,4/4,ui author-api headless graphql rendered rendered-asset preview publish,PASS,
S2.2,29,Layout & Page Structure,tut-usa/layout-page-structure/error-page-404,error-page-404,Error Page 404,/content/tut-usa/reb26-component-sweep,message,4/4,ui author-api headless graphql rendered preview publish,PASS,
